File,Line,Column,Type,Message,Source,Severity,Fixable
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/Mail/mime.php",482,22,error,"INI directive 'magic_quotes_runtime' is deprecated since PHP 5.3 and removed since PHP 5.4",PHPCompatibility.IniDirectives.RemovedIniDirectives.magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/Mail/mime.php",486,22,error,"INI directive 'magic_quotes_runtime' is deprecated since PHP 5.3 and removed since PHP 5.4",PHPCompatibility.IniDirectives.RemovedIniDirectives.magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/Mail/mime.php",771,22,error,"INI directive 'magic_quotes_runtime' is deprecated since PHP 5.3 and removed since PHP 5.4",PHPCompatibility.IniDirectives.RemovedIniDirectives.magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/Mail/mime.php",789,22,error,"INI directive 'magic_quotes_runtime' is deprecated since PHP 5.3 and removed since PHP 5.4",PHPCompatibility.IniDirectives.RemovedIniDirectives.magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/Mail/mime.php",819,22,error,"INI directive 'magic_quotes_runtime' is deprecated since PHP 5.3 and removed since PHP 5.4",PHPCompatibility.IniDirectives.RemovedIniDirectives.magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/Mail/mimePart.php",334,26,error,"INI directive 'magic_quotes_runtime' is deprecated since PHP 5.3 and removed since PHP 5.4",PHPCompatibility.IniDirectives.RemovedIniDirectives.magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/Mail/mimePart.php",338,26,error,"INI directive 'magic_quotes_runtime' is deprecated since PHP 5.3 and removed since PHP 5.4",PHPCompatibility.IniDirectives.RemovedIniDirectives.magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/Mail/mimePart.php",382,22,error,"INI directive 'magic_quotes_runtime' is deprecated since PHP 5.3 and removed since PHP 5.4",PHPCompatibility.IniDirectives.RemovedIniDirectives.magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/Mail/mimePart.php",390,22,error,"INI directive 'magic_quotes_runtime' is deprecated since PHP 5.3 and removed since PHP 5.4",PHPCompatibility.IniDirectives.RemovedIniDirectives.magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/HTTP/Request2.php",949,13,error,"Function set_magic_quotes_runtime() is deprecated since PHP 5.3 and removed since PHP 7.0",PHPCompatibility.FunctionUse.RemovedFunctions.set_magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/HTTP/Request2.php",964,13,error,"Function set_magic_quotes_runtime() is deprecated since PHP 5.3 and removed since PHP 7.0",PHPCompatibility.FunctionUse.RemovedFunctions.set_magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/Net/URL2.php",649,32,error,"preg_replace() - /e modifier is deprecated since PHP 5.5 and removed since PHP 7.0",PHPCompatibility.ParameterValues.RemovedPCREModifiers.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/scripts/pearcmd.php",42,10,error,"INI directive 'magic_quotes_runtime' is deprecated since PHP 5.3 and removed since PHP 5.4",PHPCompatibility.IniDirectives.RemovedIniDirectives.magic_quotes_runtimeDeprecatedRemoved,5,0
